상호,시도,시군구,소재지,전산보고여부
주식회사 디오티디 파주마징가주유소,경기도,파주시,경기도 파주시 엘지로105 (월롱면) ,Y
주식회사 맑은,충청북도,제천시,충청북도 제천시 북부로2313 (강제동) ,Y
주식회사 무진에너지플러스 만수스카이주유소,인천광역시,남동구,인천광역시 남동구 백범로85 (만수동) ,Y
주식회사 박상술,전라남도,영암군,전라남도 영암군 대불로184 (삼호읍) ,Y
주식회사 번영로주유소,제주특별자치도,제주시,제주특별자치도 제주시 번영로578 (봉개동) ,Y
주식회사 삼립 김천(부산방향)주유소,경상북도,김천시,경상북도 김천시 경부고속도로193 (농소면) ,Y
주식회사 삼립 정읍녹두장군(천안방향)주유소,전북특별자치도,정읍시,전북특별자치도 정읍시 하북1길227-23 (북면) ,Y
주식회사 삼립 진주(부산방향)주유소,경상남도,진주시,경상남도 진주시 남해고속도로194 (호탄동) ,Y
주식회사 삼립 황전(전주방향)주유소,전라남도,순천시,전라남도 순천시 순천완주고속도로28 (황전면) ,Y
주식회사 삼화에너지 아산주유소,충청남도,아산시,충청남도 아산시 온천대로1169 (득산동) ,Y
주식회사 삼화에너지 태우주유소,충청남도,천안시,충청남도 천안시 동남구 남부대로1006 (목천읍) ,Y
주식회사 새서울글로벌,서울특별시,동작구,서울특별시 동작구 시흥대로616 (신대방동) ,Y
주식회사 성동에너지,서울특별시,성동구,서울특별시 성동구 천호대로392 (용답동) ,Y
주식회사 세진주유소,경기도,성남시,경기도 성남시 수정구 성남대로1529 (복정동) ,Y
주식회사 시원 (태양주유소),전라남도,광양시,전라남도 광양시 백운로965 (성황동) ,Y
주식회사 신도홀딩스,경상북도,영천시,경상북도 영천시 호국로253 (조교동) ,Y
주식회사 어연공단주유소,경기도,평택시,경기도 평택시 청원로390 (청북읍) ,Y
주식회사 에스에스오토,서울특별시,마포구,서울특별시 마포구 서강로76 (창전동) ,Y
주식회사 여정 영암주유소,전라남도,영암군,전라남도 영암군 대불로164 (삼호읍) ,Y
주식회사 역곡주유소,경기도,부천시,경기도 부천시 부일로820 (역곡동) ,Y
주식회사 용운,대전광역시,동구,대전광역시 동구 백룡로77 (용운동) ,Y
주식회사 유니드에너지 미사지구주유소,경기도,하남시,경기도 하남시 미사대로556 (덕풍동) ,Y
주식회사 유턴상사 유턴주유소,서울특별시,강서구,서울특별시 강서구 남부순환로57 (공항동) ,Y
주식회사 이림,울산광역시,울주군,울산광역시 울주군 반구대로607 (삼남읍) ,Y
주식회사 이엠석유 함안(하)주유소,경상남도,함안군,경상남도 함안군 현포로205 (군북면) ,Y
주식회사 제이에스 삼백주유소,경상북도,상주시,경상북도 상주시 경상대로2834 (신봉동) ,Y
주식회사 제이제이네트웍스 제이제이주유소,서울특별시,강남구,서울특별시 강남구 언주로716 (논현동) ,Y
주식회사 젤코바에너지 남창로주유소,울산광역시,울주군,울산광역시 울주군 남창로484 (온양읍) ,Y
주식회사 진우셀프주유소,강원특별자치도,화천군,강원특별자치도 화천군 춘화로3180 (하남면) ,Y
주식회사 진천현대주유소,충청북도,진천군, 충청북도 진천군 덕산읍 이덕로603,Y
주식회사 참좋은에너지,강원특별자치도,원주시,강원특별자치도 원주시 치악로1978 (태장동) ,Y
주식회사 천곡주유소,강원특별자치도,동해시,강원특별자치도 동해시 해안로197 (천곡동) ,Y
주식회사 청주관문주유소,충청북도,청주시,충청북도 청주시 서원구 청남로1894 (미평동) ,Y
주식회사 케이엘페트로 의정부주유소,경기도,의정부시,경기도 의정부시 구리포천고속도로19 (산곡동) ,Y
주식회사 태리 골드밸리주유소,경기도,김포시,경기도 김포시 양곡우회로141 (양촌읍) ,Y
주식회사 태영비엠,경기도,양주시,경기도 양주시 월암로208 (백석읍) ,Y
주식회사 풍암주유소,광주광역시,남구,광주광역시 남구 회재로1208 (주월동) ,Y
주식회사 피트인에너지 하이웨이주유소,서울특별시,강서구,서울특별시 강서구 공항대로432 (화곡동) ,Y
주식회사 하나주유소,대전광역시,유성구,대전광역시 유성구 유성대로1127 (하기동) ,Y
주식회사 한국주유소,인천광역시,부평구,인천광역시 부평구 경인로795 (십정동) ,Y
주식회사 해우 동세종주유소,세종특별자치시,세종시, 세종특별자치시 세종시  부강면 세종청주로 205,Y
